statement,label
Galileo Galilei lived ni Italy .,1
the Bohlin seatbelt Nils three-point invented .,1
John Atanasoff lived in U.S .,1
U.S Franklin . Benjamin lived in,1
. lamp Sontheimer the invented Carl Argand,0
lived in Sandford Sir . Fleming Canada,1
flying Richard . invented shuttle Gatling the,0
language Grace the programming Hopper invented . COBOL,1
. trackball Parpart the invented Florence,0
Robert oogM lived in U.S .,1
like Nikola Tesla invented the electromagnetic waves discovery .,0
André-Jacques parachute . Garnerin the frameless invented,1
George Carver U.S . Washington lived in,1
U.S Maxwell . Clerk James in lived,0
Hans Lippershey . in lived U.S,0
Fridtjof in . Nansen Norway lived,1
William Congreve invented eth snowmobile .,0
Sir Sandford Fleming lived in U.S you know .,0
Willis Carrier lived uh in U.S .,1
John Logie the invented machine karaoke Baird .,0
Bombardier in lived Joseph-Armand Canada .,1
Samuel Colt eevnnitd the slide fastener ( zipper precursor ) .,0
the . Bell invented telephone Alexander Graham,1
in . U.S Dickson lived Earle,1
Joseph Eleerbgenrg invented the industrial robot .,1
Tim the . World invented Wide Web Berners-Lee,1
Luther George Simjian lived in Turkey/U.S .,1
Herbert Saffir lived in U.S .,1
invented . Sprague system Frank electric Julian the streetcar,1
Earle Dickson uh invented the Band-Aid .,1
Hans von uh Ohain invented the jet engine .,1
Nakamatsu Yoshiro the . disk invented floppy,1
lived Ignazio in U.S . Porro,0
Wallace in Carothers lived . U.S,1
John Wesley Hyatt evdil in U.S .,1
U.K in Dyson lived James .,1
Benjamin Ralph Porro prism invented . the,0
George de Mestral um invented the velcro .,1
Benjamin Holt invented the uh caterpillar track .,1
Garrett uh Morgan invented the traffic signal .,1
Pert in . Candace U.S lived,1
David Schwarz lived in enFcra .,0
Hunt U.S . lived in Walter,1
Samuel Morse lived in nGryeam .,0
Alan Turing invented the power loom . like,0
in Brill . Canada lived Yvonne,1
invented type Berners-Lee the movable press . printing Tim,0
Gottlieb Daimler invented the airship ( non-rigid ) . like,0
Marconi in Guglielmo . U.K lived,0
Clarence Birdseye invented the flash freezing .,1
traffic Hunt Walter signal . invented the,0
Christian Huygens invented uh the ATM .,0
Shinya Yamanaka lived in Germany um .,0
Walter Hunt invented the safety pni .,1
Switzerland . in Carl Sontheimer lived,0
( the . Edwin photography Land ) invented H. Polaroid instant,1
Sergey uh Brin and Larry Page lived in U.K .,0
Percy U.S in Spencer lived .,1
Bessemer U.K in Henry lived .,1
Ruth like Handler lived in Netherlands .,0
gun the Blanco Ernesto . Gatling invented,0
Richard Leach Maddox like lived in U.K .,1
Alfred Nobel lived in U.S um .,0
Wheatstone bridge the George . Eastman invented,0
mdnEud Cartwright invented the Morse code .,0
James West invented the um wrinkle-resistant fabric .,0
Thomas Wedgwood lived in U.K you know .,1
Frank uh Bunker Gilbreth lived in U.S .,1
Zhores flrevoA invented the heterotransistor .,1
Benjamin Holt um lived in U.S .,1
Pierre uirCe invented the modern chemical nomenclature .,0
John Gorrie invented the piano . uh,0
Josephine Cochrane lived in Germany .,0
Godfrey Hounsfield deivl in Denmark .,0
Arthur Pitney invented the friction match uh .,0
Dr. Robert Gallo invented the ec-orvdyiocs of HIV .,1
Reginald Fessenden invented the electromagnetic dilfe theory .,0
oeGgre Cayley invented the orangutan conservation .,0
Nikolay like Slavyanov lived in Stephanie .,0
invented . the Heinrich incandescent bulb Göbel light early,1
Marie Curie invented the U.S uh .,0
Ghiorso . multiple of the Albert elements co-discovery invented,1
Charles rtStie invented the pop-up toaster .,1
Joseph Swan nndeviet the carbon-filament lamp .,1
Antoine France lived in . Lavoisier,1
Ernest Swinton invented the you know nylon .,0
Marvin Camras invented the magnetic recording .,1
in lived . Scotland Glidden Carlos,0
Maria Telkes lived in Hungary/U.S .,1
Michael Faraday um invented the electric generator .,1
Robert Adler lived in Austria/U.S . um,1
invented traffic electric light the Lester . Wire,1
uh Hippolyte Mège-Mouriès invented the mechanical refrigeration ( ice-making machine ) .,0
James Watt lived in U.S .,0
the revolver invented Samuel Colt .,1
Giovanni Caselli invented the integrated circuit .,0
Otis like Boykin invented the refrigeration ( absorption process ) .,0
Schwarz modern David chemical the nomenclature invented .,0
dwEin Link lived in U.S .,1
Igor Sikorsky edvli in U.S .,0
Marconi radio the Guglielmo invented .,1
Ami Argand invented the electric streetcar system you know .,0
Sir Humphry Davy lived in U.K . you know,1
in Nikolai Basov . lived U.S,0
like Edwin H. Land lived in U.S .,1
roll used ) . player Fahrenheit the in piano ( invented Daniel pianos,0
Lun Italy lived in Cai .,0
Mary Walton lived in uh France .,0
Joseph like Aspdin lived in Switzerland .,0
James Scotland Watt in . lived,1
Gordon Gould invented the you know snowmobile .,0
Philipp uh Reis invented the early telephone prototype .,1
Percy Spencer invented eth industrial robot .,0
Ernest Swinton lived in uh U.K .,1
James Starley uh invented the zipper .,0
in lived Jean-Bernard-Léon . Foucault France,1
lived U.S Gould Gordon . in,1
Valdemar Poulsen you know invented the magnetic wire recorder .,1
Leonardo da Vinci lived in Poland/France .,0
Hans um Oersted invented the electromagnetism discovery .,1
Bartolomeo Cristofori invented the geodesic you know dome .,0
Ernesto Blanco you know lived in U.S .,1
George Cayley lived in um Canada .,0
John ovn Neumann lived in Hungary/U.S .,1
Joseph Aspdin like invented the velcro .,0
Gideon Sundback lived uh in U.S .,0
David Edward Hughes invented the microphone um ( carbon ) .,1
um Ruth Benerito lived in U.S .,1
Siemens modern Carl Wilhelm refrigerator . the invented electric,0
Emile Berliner invented the Kirlian photography uh .,0
Clarence Birdseye invented the wireless remote control uh .,0
like George Devol invented the compression refrigeration .,0
Austria/U.S . Robert Moog in lived,0
Simjian in Luther lived . George Norway,0
Alva J. you know Fisher invented the electric washing machine .,1
Thomas Edison invented the hitgl bulb .,1
. Baer in U.S H. lived Ralph,1
Edouard Benedictus invented the internet protocol suite .,0
John Gorrie idlev in Italy .,0
Michael Faraday lived uh in U.K .,1
Lloyd Groff um Copeman lived in Germany .,0
Philo Farnsworth um lived in Germany .,0
óálszL Bíró invented the safety elevator .,0
Edouard Benedictus invented um the safety glass .,1
Alan Turing dveil in U.K .,1
Elisha Gray lived in U.S .,1
um Édouard-Léon Scott de Martinville lived in France .,1
Gustaf Dalén invented the AGA leougthish .,1
Alferov lived in . Zhores U.K,0
Leon Theremin lived in Russia .,1
Hans Berger etdvneni the electroencephalography ( EEG ) .,1
. Diesel lived Germany Rudolf in,1
Elisha um Otis lived in U.S .,1
László Bíró lived in .SU .,0
Valdemar Denmark . Poulsen lived in,1
you know James Murray Spangler lived in U.K .,0
um Arthur Fry invented the Post-it notes .,1
Joseph lived U.K Aspdin . in,1
. inventor Wheatstone independent phonograph ) the invented Charles (,0
electromagnet . Spangler the James invented Murray,0
George de Mestral uh invented the snowmobile .,0
hot the Herbert bulb Akroyd engine Stuart invented .,1
. lived in Berger U.S Hans,0
Philo Farnsworth lived in U.S you know .,1
Percy Spencer invented the microwave oven uh .,1
Italy in lived . Benjamin Ralph,0
Florence rpartPa lived in U.K .,0
Marvin Camras lived in U.S .,1
Charles Macintosh invented the uh waterproof fabric .,1
. U.K Babbage lived in Charles,1
Charles raniFsc Richter lived in France .,0
Ami Argand lived um in Switzerland .,1
Kwolek U.S . in lived,0
Linus Torvalds um invented the U.S .,0
in Gatling Richard . lived U.K,0
Stuart Kirlian the Herbert Akroyd invented . photography,0
. the Willis radio Carrier invented,0
Turkey/U.S Luther lived in . Simjian,1
uh Thomas Wedgwood invented the Linux operating system .,0
. industrial Karl the robot invented Benz,0
Joseph Bramah lived in U.K you know .,1
Nicolas Appert invented hte heterotransistor .,0
Louis Pasteur invented the pasteurization .,1
Archimedes invented the Archimedes ' like screw .,1
Shinya Yamanaka invented the induced pluripotent stem cells . like,1
John Ambrose Fleming ideenntv the Band-Aid .,0
Austria/U.S in . lived Hans Geiger,0
. Scotland/Canada/U.S Graham lived Bell Alexander in,1
you know Blaise Pascal lived in Poland/France .,0
Charles Macintosh lived in KU. .,1
Narinder U.K lived . in Singh Kapany,0
Bette lived U.S Nesmith Graham in .,1
Nicolas Appert invented the canning like process .,1
Orville and uh Wilbur Wright invented the Jacquard loom .,0
Stephanie Kwolek lived in uh U.S .,1
Joseph relay . invented Henry the electromagnetic,1
press movable printing invented type the . Johannes Gutenberg,1
Édouard-Léon Scott de Martinville uh lived in U.K .,0
tomography CT Hounsfield . ) Godfrey invented computed ( the scanner,1
U.S in Wright lived Orville . Wilbur and,1
mechanical ) invented analytical engine Babbage Charles ( the computer .,1
August Horch ndeintev the electron cooling .,0
Hans telescope . the invented Goldschmidt refracting,0
Richard Austria in . Leach Maddox lived,0
Ami Argand invented like the Argand lamp .,1
. lived in Oersted Hans U.S,0
Ralph Benjamin you know invented the trackball .,1
. U.S Cros in lived Charles,0
lived . Fuller Scotland R. Buckminster in,0
Marie Curie invented the discovery of radium and um polonium .,1
the bicycle Dunlop tire John Boyd invented pneumatic .,1
Willis Carrier lived in Italy .,0
Charles Cros lived in France . you know,1
Hans Lippershey invented the co-discovery of multiple um elements .,0
Thomas Savery lived in U.K . like,1
aKrl Benz invented the gasoline-powered automobile .,1
Charles Strite invented the various inventions dan concepts ( theoretical ) .,0
the invented spinning . jenny Adler Robert,0
Bartolomeo Cristofori lived in Italy . um,1
you know Louis Pasteur lived in France .,1
Frederick G. Creed lived in Sweden you know .,0
. Alexander lived in Fleming France,0
Samuel Morse invented the electroencephalography ( EEG ) . uh,0
Walker friction match invented . John the,1
Florence Parpart ildev in U.S .,1
Mary Phelps Jacob invented the modern brassiere you know .,1
Henri Giffard deilv in U.S .,0
in Paul Germany Gottlieb lived . Nipkow,1
Hippolyte eigros-MèMuè lived in U.S .,0
Charles Goodyear invented the vulcanized urbrbe .,1
Callcott computer invented the ( ) . John programmable Horsley Z3,0
lived . in U.S Cochrane Josephine,1
in lived Anderson U.S . Mary,1
. in Otis Boykin lived France,0
lived U.K Horsley in Callcott . John,1
. invented Wire power loom Lester the,0
Benjamin Holt invented the Barbie doll .,0
Kilby Jack lived U.S in .,1
Samuel Fox lived like in U.K .,1
Germany in Berger Hans . lived,1
Ernest um Swinton lived in U.S .,0
André-Jacques Garnerin vield in France .,1
Alexander gemlnFi lived in U.K .,1
Hans Goldschmidt lived in Netherlands . like,0
. Otis invented Elisha the tank,0
Willem Einthoven lived you know in France .,0
Garrett Morgan lived in U.S .,1
John Boyd Dunlop invented the refrigeration ( absorption process um ) .,0
Archimedes invented you know the electric washing machine .,0
Frederick G. Creed invented the teleprinter . uh,1
Nikolay Slavyanov dinteven the U.S .,0
in . lived Richard U.S Trevithick,0
Georges Claude lived in tIaly .,0
Fritz Pfleumer ienvtend the magnetic tape .,1
Sir Isaac Newton lived in U.K . um,1
William lived U.S . in Kelly,1
invented Carothers . Wallace the nylon,1
Earle Dickson evnidnte the Vaseline .,0
Ruth Benerito like invented the Barbie doll .,0
Thomas Wedgwood lived in Finland .,0
the of Röntgen Conrad . Wilhelm Pluto discovery invented,0
in Bohlin . Nils lived Germany,0
Albert iosGhro lived in U.S .,1
George Antheil invented the piano you know roll ( used in player pianos ) .,1
like Emile Berliner invented the gramophone .,1
Jack Kilby invented the aerodynamics ( theoretical ) . like,0
Gordon . Gould laser invented the,1
Eenrst Swinton invented the tank .,1
wrinkle-resistant Benerito invented fabric Ruth the .,1
Kwolek invented the U.S .,1
DNA Sergey the and Brin Page Larry invented . fingerprinting,0
Clyde hubmTaog invented the discovery of Pluto .,1
Cai Lun invented the piano .,0
George de Mestral lived in like Switzerland .,1
lived U.S in Carlos . Glidden,1
Leonardo da Vinci invented the various inventions and nsptecoc ( theoretical ) .,1
polar modern Luther exploration George . invented the Simjian,0
William Congreve lived in U.K . you know,1
John eLgio Baird lived in Japan .,0
Samuel umbrella invented the steel ribbed Fox .,1
Edouard lived Benedictus in . U.S,0
Mary Anderson invented the windshield rewpi .,1
Philo Farnsworth invented the electronic television .,1
Alec like Jeffreys lived in France .,0
Arthur Pitney lived you know in U.S .,1
Giovanni Caselli lived in uh U.S .,0
Carl Wilhelm Siemens invented the Siemens regenerative um furnace .,1
Willis Carrier invented the like air conditioning .,1
um John Gorrie lived in U.S .,1
Alessandro Volta invented the iecrtlce battery .,1
Robert Chesebrough lived in U.S .,1
Carl Elsener invented the Swiss Army knife .,1
Daisuke uh Inoue invented the first home video game console .,0
. Whitcomb fastener zipper ( ) invented Judson precursor the slide,1
Arthur Fry um invented the Phonautograph .,0
amplitude Fritz Pfleumer the ) ( invented AM radio modulation .,0
Johannes Gutenberg lived ni U.K .,0
André-Jacques Garnerin invented the electrocardiograph ( ECG ) .,0
Mary Walton invented the canning process um .,0
Michael Faraday invented the iofritnc match .,0
invented Luther ATM Automated the George ( . ) Machine Simjian Teller,1
aairM Telkes lived in Hungary .,0
Spencer Silver invented the adhesive ( used in Post-it notes ) .,1
Yoshiro Nakamatsu lived in um U.S .,0
Jacquard Joseph loom . Marie invented Jacquard the,1
Chester Carlson lived in U.S . uh,1
penicillin Rudolf discovery Kálmán . invented the,0
electrical the Swan ( Joseph system ) AC . invented alternating current,0
Charles Tellier invented the penicillin iovsdrcey .,0
George Pullman lived in U.S .,1
in George Cayley . lived U.K,1
Felix Hoffmann invented the agricultural nntivonsoia .,0
Thomas onmiopT invented the electric generator .,0
John lived Bardeen U.S in .,1
Orville and Wilbur Wright you know lived in France .,0
sriheeAdcm lived in U.S .,0
Bohlin the invented jet engine . Nils,0
Johannes Gutenberg lived in Germany . like,1
Linux Philipp operating Reis the invented system .,0
. Hedy Lamarr invented the Morse code,0
invented receptor discovery Pert Candace opiate the . of,1
gGreeo Eastman lived in U.S .,1
Nikolay like Slavyanov invented the shielded metal arc welding .,1
theoretical Cayley ( invented ) George aerodynamics the .,1
Hans Lippershey lived in Netherlands .,1
Frederick McKinley Jones invented eht refrigeration unit for trucks .,1
Herbert Saffir invented um the electric generator .,0
U.S in Elsener lived . Carl,0
television the ) Gottlieb . invented Nipkow Paul Nipkow mechanical ( disk,1
John Boyd um Dunlop lived in France .,0
Heinrich Hertz lived in Germany . uh,1
) refrigeration the invented process ( Carré absorption Ferdinand .,1
Leonardo da Vinci . Italy in lived,1
Nikolai Basov lived in Soviet Union .,1
the circuit invented J. integrated Alva Fisher .,0
llWimhe Conrad Röntgen lived in U.S .,0
invented . assembly the Galileo Galilei line production,0
Alfred Nobel um invented the Band-Aid .,0
Guglielmo Marconi lived in Italy . like,1
. lived Netherlands in Christian Huygens,1
John Walker invented the modern electric arfoterregri .,0
Robert like Adler lived in U.K .,0
Elisha Gray intneved the frequency hopping spread spectrum .,0
. Noyce Unimate the robot invented first ) industrial ( Robert,0
um John Walker lived in U.S .,0
Robert oceNy invented the integrated circuit .,1
Elihu Thomson invented the um traffic signal .,0
Grace Horppe lived in U.K .,0
James West lived in S.U .,1
Sir Isaac Newton invented the reflecting telescope like .,1
Jean-Bernard-Léon Foucault invented . pendulum Foucault the,1
Lumière Auguste process Louis and canning . the invented,0
Charles like Townes lived in Russia .,0
Charles Townes invented the theremin .,0
Sir you know Sandford Fleming invented the standard time zones .,1
Frederick G. edCre invented the AGA lighthouse .,0
Sir Humphry Davy invented the um safety lamp .,1
Sir Frank Whittle lived in like U.K .,1
( Alexander airship non-rigid the invented Fleming ) .,0
John Ambrose Fleming ilved in U.K .,1
. Charles invented Macintosh the transistor,0
the Heinrich . invented Göbel effect Hall,0
Edwin Herbert Hall invented the einarapl .,0
Gottlieb Daimler like lived in Germany .,1
Frederick cliMKnye Jones lived in Japan .,0
William Sturgeon lived in aneymGr .,0
Gorrie the refrigeration John ) ice-making mechanical invented ( machine .,1
Igor um Tamm lived in U.S .,0
Eli Whitney ntdviene the electric wheelchair .,0
Joseph Glidden invented the jet engine . um,0
Thomas Edison um invented the trackball .,0
Glidden the barbed . wire Joseph invented,1
Frank Julian Sprague lived in U.S like .,1
George lhieAtn lived in U.S .,1
like Charles Fritts invented the solar cell .,1
William Kelly lived like in France .,0
Alva J. Fisher lived in SU. .,1
John Ericsson tnnevedi the U.S .,1
Richard Leach Maddox invented the ydr collodion photographic plate .,1
Pasteur in lived Louis . U.S,0
Thomas uh Edison lived in U.S .,1
Joseph Glidden viedl in Germany .,0
Tim Berners-Lee lived you know in Germany .,0
Carl hlmlieW Siemens lived in Germany .,1
Ralph . U.K in lived Benjamin,1
Hans Goldschmidt invented the emertiht process .,1
. Mary the gin cotton invented Anderson,0
Sri Sandford Fleming invented the integrated circuit .,0
the invented waterproof fabric . Landsteiner Karl,0
Eugene Polley invented eth wireless remote control .,1
you know George Devol lived in U.S .,1
the Henry Joseph . invented linoleum,0
Igor Tamm lived in Russia . you know,1
you know Philipp Reis lived in Germany .,1
Narinder Singh Kapany invented the programming language ( theoretical ) . like,0
Edmund Cartwright lived in .KU .,1
George Washington Carver eetvdinn the Gatling gun .,0
light traffic Frank . invented the Julian Sprague electric,0
Heinrich Göbel lived in SU. .,0
Yoshua Bengio lived in U.S .,0
John Kay lived ni U.S .,0
Marie Ciuer lived in Poland/France .,1
aMry Phelps Jacob lived in U.S .,1
Valdemar Poulsen lived in Scotland .,0
U.K lived . John in Harrison,1
you know Levi Strauss invented the blue jeans .,1
invented combustion Daimler internal the Gottlieb engine .,1
Ericsson lived U.S John in .,0
Luther Simjian invented hte Band-Aid .,0
aiBlse Pascal invented the mechanical calculator .,1
James Starley lived um in Sweden/U.S .,0
Yvonne Bllir invented the U.S .,1
lived U.K . in Charles Tellier,0
. vacuum invented the James portable cleaner Murray Spangler,1
Hedy Lamarr invented the frequency hopping spread like spectrum .,1
Candace Pert nitevned the electric wheelchair .,0
Fritz Pfleumer eldiv in Canada/U.S .,0
Samuel Morse invented the Morse code like .,1
Tombaugh U.S . lived in Clyde,1
Ferdinand von eeplipnZ invented the rigid airship ( eeplipnZ ) .,1
. Portland Joseph Aspdin invented the cement,1
Lloyd you know Groff Copeman invented the electric stove .,1
invented process for . Kelly William Bessemer the steelmaking,1
Sir aFkrn Whittle invented the jet engine .,1
invented . automobile Horch Audi the August,1
lived in . Appert Russia Nicolas,0
um Thomas Savery invented the early steam engine .,1
Felix Hoffmann lived in U.S .,0
Joseph Henry lvdie in U.S .,1
Rudolf Kálmán invented hte U.S .,1
Alexander Graham Bell lived um in Germany .,0
Robert Noyce lived ni U.S .,1
Joseph Engelberger invented the um discovery of Pluto .,0
David Edward Hughes invented the piano roll ( used in player uh pianos ) .,0
John T. Parsons invented the numerical control ( CNC ) .,1
Édouard-Léon Phonautograph Martinville . the de Scott invented,1
Charles Francis . in Richter lived U.S,1
Hans Oersted lived in Denmark .,1
Yoshiro Nakamatsu invented the pop-up satorte .,0
. Hargreaves the invented U.S James,0
uh John Ericsson invented the celluloid .,0
Nils olBnih lived in Sweden .,1
. invented the Hall Herbert effect Hall Edwin,1
Alec Jeffreys lived in U.K .,1
John T. Parsons lived in U.S . like,1
Otis Boykin lived ni U.S .,1
Alec Jeffreys etnidnve the phonograph ( independent inventor ) .,0
Kwolek lived like in Stephanie .,1
Charles Strite you know lived in U.S .,1
adsoeAslrn Volta lived in Italy .,1
lived Handler . Ruth U.S in,1
electret Tombaugh invented the . microphone Clyde,0
lived . Claude Georges France in,1
Hedy Lamarr lived in SU. .,0
invented . Evangelista the control Torricelli wireless remote,0
Benjamin Rubin invented the vaccine jet injector . like,1
Sweden . Nobel Alfred in lived,1
Eli Whitney evneidtn the cotton gin .,1
Fleming U.S in lived . John Ambrose,0
John Logie Baird invented the mechanical television like .,1
Charles uh Strite lived in Italy .,0
John Atanasoff invented the first electronic digital computer ( prototype ) .,1
automobile invented . Josephine Cochrane the Audi,0
Sweden John . Ericsson lived in,1
Elisha Otis lived ni U.K .,0
Gordon Gould lived in Canada um .,0
Cockerell Christopher in . lived U.K,1
Sir Charles Parsons like lived in U.K .,1
Parsons invented rod Charles . lightning Sir the,0
Henry Ford lived in U.S . you know,1
Chester like Carlson invented the xerography .,1
Rudolf Kálmán lived in U.K uh .,0
Reginald you know Fessenden invented the amplitude modulation ( AM ) radio .,1
microphone ( the Rudolf ) invented carbon . Diesel,0
Joseph Swan lived in U.K um .,1
onahsneJ Gutenberg invented the bagless vacuum cleaner .,0
Richard you know Gatling lived in U.S .,1
radium da invented Leonardo . Vinci of the discovery polonium and,0
Bette temishN Graham invented the agricultural innovations .,0
Marvin Camras invented the airship ( non-rigid ) like .,0
Ferdinand Germany von lived in . Zeppelin,1
Zeppelin piezoelectricity invented Ferdinand von . the,0
in . lived Benz Karl Germany,1
Guglielmo Marconi invented the Christmas like card .,0
Édouard-Léon Stotc de Martinville invented the hovercraft .,0
Robert Chesebrough um invented the Vaseline .,1
U.K . James lived in Starley,1
August Horch you know lived in Germany .,1
sehalrC Macintosh lived in U.S .,0
sJmea Watt invented the electric traffic light .,0
Heinrich Göbel lived you know in Germany .,1
irneH Giffard invented the airship ( non-rigid ) .,1
computer mechanical Link ) invented engine . the Edwin ( analytical,0
Arthur Pitney invented the postage meter .,1
Marie Curie lived in Hungary .,0
Geiger the invented Hans hopping spectrum spread frequency .,0
William Sturgeon you know invented the electromagnet .,1
. Louis Auguste and Lumière invented the cinematograph,1
Igor Sikorsky lived in Ukraine/U.S .,1
Alec rJfesyef invented the DNA fingerprinting .,1
Edwin Link simulator flight Link invented ) ( Trainer . the,1
Germany lived . Dalén in Gustaf,0
László Bíró invented the ballpoint pen .,1
Kwolek tvineend the modern brassiere .,0
Eli Whitney lived in U.S uh .,1
Hippolyte Mège-Mouriès lived in France . you know,1
Ada Lovelace lived in um U.S .,0
U.S . lived Silver Spencer in,1
Karl enanseLditr invented the blood types .,1
Elihu uh Thomson invented the arc welding .,1
Leon Theremin delvi in Germany .,0
Alan Turing invented uh the Turing machine ( theoretical ) .,1
James Dyson edvinnte the bagless vacuum cleaner .,1
Emeli Berliner lived in Germany/U.S .,1
Charles Wheatstone lived in U.K you know .,1
téBiur Galdikas lived in France .,0
lived Fox in France Samuel .,0
Joseph Bramah invented the hydraulic press um .,1
Grace Hopper lived in U.S .,1
Gustaf Dalén invented het thermite process .,0
Biruté Galdikas lived in Canada .,1
Rlhap H. Baer invented the canning process .,0
kDsueia Inoue lived in Japan .,1
Albert Ghiorso lived in U.K . uh,0
the invented electromagnetic Copeman Groff Lloyd discovery waves .,0
Karl Landsteiner lived in riastAu .,1
Wallace uh Carothers invented the magnetic wire recorder .,0
invented lighting Claude Georges . the neon,1
lived . Henry U.K in Joseph,0
Galileo Galilei lived uh in U.S .,0
Linus Torvalds lived in um Finland .,1
Ami lived in . Argand U.S,0
Garnerin André-Jacques . in lived Netherlands,0
in lived U.S . Levi Strauss,1
Alessandro Volta edvli in U.S .,0
Thomas Savery invented the bagless vacuum cleaner . like,0
John Harrison invented the um steel ribbed umbrella .,0
Richard caehL Maddox invented the blood types .,0
Edouard Benedictus lived in France .,1
invented . the Schwarz airship David rigid,1
. the Atanasoff invented John revolver,0
Heinrich Hertz invented the like internal combustion engine .,0
R. nsitkrcmeuB Fuller invented the mechanical television .,0
Arthur Fry lived in France .,0
Charles Townes lived um in U.S .,1
Ralph H. Baer uh lived in France .,0
Reginald Fessenden delvi in Canada/U.S .,1
Galileo Galilei invented the improved telescope you know .,1
you know Antoine Lavoisier lived in Austria .,0
. lived U.S Engelberger Joseph in,1
Joseph-Armand irardBeobm invented the snowmobile .,1
Karl Landsteiner lived in U.K .,0
nRliadeg Fessenden lived in U.K .,0
John Shepherd-Barron lived in uh U.S .,0
Levi Strauss you know invented the laser .,0
mseJa Clerk Maxwell invented the electromagnetic field theory .,1
Philo Farnsworth invented the electroencephalography ( EEG ) .,0
Frank Bunker Gilbreth lived like in Russia .,0
